Source;Accuracy
NicolasMA;0.7628209
MrMollier;0.7628209
ThelioLA;0.74359
GuillaumeLI;0.69230795
LoicRA;0.68589777
MatteoPR;0.6730772
LubinDE;0.6474362
AkramBE;0.6410259
ArthurLO;0.6410257
LenaME;0.62820536
SachaBE;0.6153848
RomaneFI;0.6089747
SachaAD;0.60897464
YanisIH;0.6025644
ElioKE;0.60256433
TheoLA;0.58333355
IrinaRU;0.5769232
TaoPO;0.56410277
MrChauvet;0.5641027
QuentinGU;0.5576925
AntoineME;0.55128235
NathanLU;0.53205144
NoematheoBLB;0.5256412
MaximeMB;0.5256412
MatisBR;0.49358994
MatheoLB;0.3846155
SamuelJE;0.36538467
YacoutGA;0.28846157
