Source;Accuracy
Trebuchet MS;0.9935903
Rockwell;0.98718
Georgia;0.98076975
Palatino Linotype;0.9743596
Bahnschrift;0.9679493
Fira Code Retina Moyen;0.9679493
Consolas;0.9679493
DejaVu Serif;0.96153903
Times New Roman;0.96153903
Cooper Black;0.961539
Tahoma;0.94230825
Perpetua;0.9423082
Playwrite IT Moderna;0.92307746
Franklin Gothic Book;0.92307734
Eras Demi ITC;0.91666716
Lucida Handwriting Italique;0.91025686
Lucida Handwriting Italique;0.8974363
Corbel;0.8974363
Bell MT;0.89743626
Arial;0.8846159
Garamond;0.87820566
Just Another Hand;0.8782056
Pristina;0.83974403
Elephant;0.8076927
Baskerville Old Face;0.7371798
